2020-12-18 10:27:47 INFO  ExamplePage:37 - Is working
2020-12-18 10:33:48 INFO  ExampleTest:32 - Creating Example page Object
2020-12-18 10:33:48 INFO  ExampleTest:34 - Click Sign In With Google
2020-12-18 10:33:49 INFO  ExampleTest:36 - Assert that the page is fully loaded
2020-12-18 10:34:30 FATAL ExampleTest:41 - Unexpected result for screenshot command: null
2020-12-18 10:35:13 INFO  ExampleTest:28 - Creating Example page Object
2020-12-18 10:35:13 INFO  ExampleTest:30 - Click Sign In With Google
2020-12-18 10:35:14 INFO  ExampleTest:32 - Assert that the page is fully loaded
2020-12-18 10:40:46 INFO  :10 - Waiting
2020-12-18 10:42:26 INFO  ExampleTest:29 - Creating Example page Object
2020-12-18 10:42:26 INFO  ExampleTest:31 - Click Sign In With Google
2020-12-18 10:42:27 INFO  ExampleTest:33 - Assert that the page is fully loaded
2020-12-18 10:42:36 INFO  SecondExample:12 - Waiting 2 seconds
2020-12-18 10:51:04 INFO  ExampleTest:29 - Creating Example page Object
2020-12-18 10:51:04 INFO  ExampleTest:31 - Click Sign In With Google
2020-12-18 10:51:05 FATAL ExampleTest:38 - El nombre de archivo, el nombre de directorio o la sintaxis de la etiqueta del volumen no son correctos
2020-12-18 10:52:44 INFO  ExampleTest:29 - Creating Example page Object
2020-12-18 10:52:44 INFO  ExampleTest:31 - Click Sign In With Google
2020-12-18 10:52:45 INFO  ExampleTest:33 - Assert that the page is fully loaded
2020-12-18 10:53:19 INFO  ExampleTest:29 - Creating Example page Object
2020-12-18 10:53:19 INFO  ExampleTest:31 - Click Sign In With Google
2020-12-18 10:53:20 INFO  ExampleTest:33 - Assert that the page is fully loaded
2020-12-18 15:24:28 INFO  ExampleTest:30 - Creating Example page Object
2020-12-18 15:24:29 INFO  ExampleTest:32 - Click Sign In With Google
2020-12-18 15:24:36 INFO  ExampleTest:34 - Assert that the page is fully loaded
2020-12-18 15:54:36 INFO  ExampleTest:30 - Creating Example page Object
2020-12-18 15:54:36 INFO  ExampleTest:32 - Click Sign In With Google
2020-12-18 15:54:37 INFO  ExampleTest:34 - Assert that the page is fully loaded
2020-12-18 15:55:08 INFO  ExampleTest:30 - Creating Example page Object
2020-12-18 15:55:09 INFO  ExampleTest:32 - Click Sign In With Google
2020-12-18 15:55:10 INFO  ExampleTest:34 - Assert that the page is fully loaded
2020-12-18 15:57:34 INFO  ExampleTest:30 - Creating Example page Object
2020-12-18 15:57:34 INFO  ExampleTest:32 - Click Sign In With Google
2020-12-18 15:57:35 INFO  ExampleTest:34 - Assert that the page is fully loaded
2020-12-18 15:58:29 INFO  ExampleTest:30 - Creating Example page Object
2020-12-18 15:58:29 INFO  ExampleTest:32 - Click Sign In With Google
2020-12-18 15:58:30 INFO  ExampleTest:34 - Assert that the page is fully loaded
2020-12-18 15:58:40 ERROR ExampleTest:37 - WebDriver Failed: Expected condition failed: waiting for visibility of Proxy element for: DefaultElementLocator 'By.xpath: //span[text()='Iniciar sesió']' (tried for 10 second(s) with 100 milliseconds interval)
2020-12-18 15:59:21 INFO  ExampleTest:30 - Creating Example page Object
2020-12-18 15:59:21 INFO  ExampleTest:32 - Click Sign In With Google
2020-12-18 15:59:31 ERROR ExampleTest:37 - WebDriver Failed: Expected condition failed: waiting for visibility of Proxy element for: DefaultElementLocator 'By.xpath: //note-ap' (tried for 10 second(s) with 100 milliseconds interval)
2020-12-18 16:01:30 INFO  ExampleTest:30 - Creating Example page Object
2020-12-18 16:01:30 INFO  ExampleTest:32 - Click Sign In With Google
2020-12-18 16:01:41 ERROR ExampleTest:37 - WebDriver Failed: Expected condition failed: waiting for visibility of Proxy element for: DefaultElementLocator 'By.xpath: //note-ap' (tried for 10 second(s) with 100 milliseconds interval)
2020-12-18 16:02:47 INFO  ExampleTest:30 - Creating Example page Object
2020-12-18 16:02:48 INFO  ExampleTest:32 - Click Sign In With Google
2020-12-18 16:02:58 ERROR ExampleTest:37 - WebDriver Failed: Expected condition failed: waiting for visibility of Proxy element for: DefaultElementLocator 'By.xpath: //note-ap' (tried for 10 second(s) with 100 milliseconds interval)
